source_file,constraint_name,from_table,from_columns,to_table,to_columns,match_type
dbo.DEMAND_SUPPLY_LINK.sql,FK_DSL_DEMAND_TO_SITE,DEMAND_SUPPLY_LINK,DEMAND_SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.DEMAND_SUPPLY_LINK.sql,FK_DSL_DEMAND_TO_SITE,DEMAND_SUPPLY_LINK,SUPPLY_SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.DEPARTMENT.sql,FK_DEPARTMENT_01,DEPARTMENT,LAB_COST_CAT_ID,COST_CATEGORY,ID,ALTER_TABLE_FK
dbo.DEPARTMENT.sql,FK_DEPARTMENT_00,DEPARTMENT,MATL_COST_CAT_ID,COST_CATEGORY,ID,ALTER_TABLE_FK
dbo.DEPARTMENT.sql,FK_DEPARTMENT_00,DEPARTMENT,SERV_COST_CAT_ID,COST_CATEGORY,ID,ALTER_TABLE_FK
dbo.DISCOUNT_PRICE.sql,FK_DISCOUNT_PRICE_TO_SITE,DISCOUNT_PRICE,DISCOUNT_CODE,CUSTOMER_DISCOUNT,DISCOUNT_CODE,ALTER_TABLE_FK
dbo.DISCOUNT_PRICE.sql,FKEY0071,DISCOUNT_PRICE,PART_ID,PART,ID,ALTER_TABLE_FK
dbo.DISCOUNT_PRICE.sql,FKEY0089,DISCOUNT_PRICE,SELLING_UM,UNITS,UNIT_OF_MEASURE,ALTER_TABLE_FK
dbo.DISCOUNT_PRICE.sql,FK_DISCOUNT_PRICE_TO_SITE,DISCOUNT_PRICE,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.DISTRIBUTION_LINE.sql,FK_DISTRIBUTION_LINE_00,DISTRIBUTION_LINE,DISTRIBUTION_ID,DISTRIBUTION,ID,ALTER_TABLE_FK
dbo.ECN_CO_PRODUCT.sql,FK_ECN_CO_PRODUCT,ECN_CO_PRODUCT,"ECN_ID, LINE_NO, ECN_ENTRY_NO",ECN_DETAIL,"ECN_ID, LINE_NO, ENTRY_NO",ALTER_TABLE_FK
dbo.ECN_OPERATION.sql,FK_ECN_OPERATION,ECN_OPERATION,"ECN_ID, LINE_NO, ECN_ENTRY_NO",ECN_DETAIL,"ECN_ID, LINE_NO, ENTRY_NO",ALTER_TABLE_FK
dbo.ECN_OPER_BINARY.sql,FK_ECN_OPER_BINARY,ECN_OPER_BINARY,"ECN_ID, LINE_NO, ECN_ENTRY_NO, WORKORDER_SUB_ID, SEQUENCE_NO",ECN_OPERATION,"ECN_ID, LINE_NO, ECN_ENTRY_NO, WORKORDER_SUB_ID, SEQUENCE_NO",ALTER_TABLE_FK
dbo.ECN_OPER_RESOURCE.sql,FK_ECN_OPER_RESOURCE,ECN_OPER_RESOURCE,"ECN_ID, LINE_NO, ECN_ENTRY_NO",ECN_DETAIL,"ECN_ID, LINE_NO, ENTRY_NO",ALTER_TABLE_FK
dbo.ECN_REQUIREMENT.sql,FK_ECN_REQUIREMENT,ECN_REQUIREMENT,"ECN_ID, LINE_NO, ECN_ENTRY_NO",ECN_DETAIL,"ECN_ID, LINE_NO, ENTRY_NO",ALTER_TABLE_FK
dbo.ECN_REQ_BINARY.sql,FK_ECN_REQ_BINARY,ECN_REQ_BINARY,"ECN_ID, LINE_NO, ECN_ENTRY_NO, WORKORDER_SUB_ID, OPERATION_SEQ_NO, PIECE_NO",ECN_REQUIREMENT,"ECN_ID, LINE_NO, ECN_ENTRY_NO, WORKORDER_SUB_ID, OPERATION_SEQ_NO, PIECE_NO",ALTER_TABLE_FK
dbo.ECN_REQ_PART_ALT.sql,FK_ECN_REQ_PART_ALT,ECN_REQ_PART_ALT,"ECN_ID, LINE_NO, ECN_ENTRY_NO",ECN_DETAIL,"ECN_ID, LINE_NO, ENTRY_NO",ALTER_TABLE_FK
dbo.ECN_REQ_REF_DESIG.sql,FK_ECN_REQ_REF_DESIG,ECN_REQ_REF_DESIG,"ECN_ID, LINE_NO, ECN_ENTRY_NO",ECN_DETAIL,"ECN_ID, LINE_NO, ENTRY_NO",ALTER_TABLE_FK
dbo.ECN_WORKORDER.sql,FK_ECN_WORKORDER,ECN_WORKORDER,"ECN_ID, LINE_NO, ECN_ENTRY_NO",ECN_DETAIL,"ECN_ID, LINE_NO, ENTRY_NO",ALTER_TABLE_FK
dbo.ECN_WO_BINARY.sql,FK_ECN_WO_BINARY,ECN_WO_BINARY,"ECN_ID, LINE_NO, ECN_ENTRY_NO, WORKORDER_SUB_ID",ECN_WORKORDER,"ECN_ID, LINE_NO, ECN_ENTRY_NO, WORKORDER_SUB_ID",ALTER_TABLE_FK
dbo.EC_GROUP_USER.sql,FK_EC_GROUP_USER,EC_GROUP_USER,EC_ID,EC,ID,ALTER_TABLE_FK
dbo.EC_HISTORY.sql,FK_EC_HISTORY,EC_HISTORY,EC_ID,EC,ID,ALTER_TABLE_FK
dbo.EC_LINE.sql,FK_EC_LINE,EC_LINE,EC_ID,EC,ID,ALTER_TABLE_FK
dbo.EC_LINE_BINARY.sql,FK_EC_LINE_BINARY,EC_LINE_BINARY,"EC_ID, LINE_NO",EC_LINE,"EC_ID, LINE_NO",ALTER_TABLE_FK
dbo.EC_REQUEST.sql,FK_EC_REQUEST,EC_REQUEST,EC_ID,EC,ID,ALTER_TABLE_FK
dbo.EC_RESPONSE.sql,FK_EC_RESPONSE,EC_RESPONSE,EC_ID,EC,ID,ALTER_TABLE_FK
dbo.EMPLOYEE.sql,FKEY0050,EMPLOYEE,EARNING_CODE_ID,EARNING_CODE,ID,ALTER_TABLE_FK
dbo.EMPLOYEE.sql,FKEY0050,EMPLOYEE,SHIFT_ID,SHIFT,ID,ALTER_TABLE_FK
dbo.EMPLOYEE_SITE.sql,FK_EMP_SITE_TO_SITE,EMPLOYEE_SITE,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.EQUIPMENT.sql,FKEY9516,EQUIPMENT,"BRANCH, SERVICE_AREA",EQUIP_BRANCH,"ID, AREA_ID",ALTER_TABLE_FK
dbo.EQUIPMENT.sql,FK_EQUIP_CONT_ID,EQUIPMENT,CONTACT_ID,CONTACT,ID,ALTER_TABLE_FK
dbo.EQUIPMENT.sql,FKEY9517,EQUIPMENT,DEFAULT_RESOURCE,SHOP_RESOURCE,ID,ALTER_TABLE_FK
dbo.EQUIPMENT.sql,FKEY9513,EQUIPMENT,SERVICE_AREA,EQUIP_AREA,id,ALTER_TABLE_FK
dbo.EQUIPMENT.sql,FK_EQUIPMENT_00,EQUIPMENT,TYPE_ID,EQUIP_TYPE,ID,ALTER_TABLE_FK
dbo.EQUIPMENT.sql,FK_EQUIP_CONT_ID,EQUIPMENT,"TYPE_ID, MODEL",EQUIP_MODEL,"TYPE_ID, ID",ALTER_TABLE_FK
dbo.EQUIPMENT.sql,FKEY9513,EQUIPMENT,VM_PART_ID,PART,ID,ALTER_TABLE_FK
dbo.EQUIP_BRANCH.sql,FKEY9509,EQUIP_BRANCH,AREA_ID,EQUIP_AREA,id,ALTER_TABLE_FK
dbo.EQUIP_LABOR_PRICE.sql,FKEY9510,EQUIP_LABOR_PRICE,RESOURCE_ID,SHOP_RESOURCE,ID,ALTER_TABLE_FK
dbo.EQUIP_MAINT_DISC.sql,FKEY9507,EQUIP_MAINT_DISC,CUSTOMER_ID,CUSTOMER,ID,ALTER_TABLE_FK
dbo.EQUIP_MAINT_DISC.sql,FKEY9507,EQUIP_MAINT_DISC,MAINT_ID,EQUIP_MAINT_TYPE,ID,ALTER_TABLE_FK
dbo.EQUIP_MODEL.sql,FKEY9506,EQUIP_MODEL,TYPE_ID,EQUIP_TYPE,ID,ALTER_TABLE_FK
dbo.EQUIP_PART_PRICE.sql,FKEY9511,EQUIP_PART_PRICE,PART_ID,PART,ID,ALTER_TABLE_FK
dbo.EQUIP_PM_PROFILE.sql,FKEY9512,EQUIP_PM_PROFILE,ENG_ID,EQUIP_MAINT_ENG,ID,ALTER_TABLE_FK
dbo.EQUIP_PM_SCHEDULE.sql,FKEY9519,EQUIP_PM_SCHEDULE,PROFILE_ID,EQUIP_PM_PROFILE,PROFILE_ID,ALTER_TABLE_FK
dbo.EQUIP_PROFILE.sql,FKEY9520,EQUIP_PROFILE,PROFILE_ID,EQUIP_PM_PROFILE,PROFILE_ID,ALTER_TABLE_FK
dbo.FEEDING_OPERATIONS.sql,FKEY_FEEDOPS_BUF,FEEDING_OPERATIONS,BUFFER_ID,BUFFER,ID,ALTER_TABLE_FK
dbo.FEEDING_OPERATIONS.sql,FKEY_FEEDOPS_BUF,FEEDING_OPERATIONS,"WORKORDER_TYPE, WORKORDER_BASE_ID, WORKORDER_LOT_ID, WORKORDER_SPLIT_ID, WORKORDER_SUB_ID, OPERATION_SEQ_NO",OPERATION,"WORKORDER_TYPE, WORKORDER_BASE_ID, WORKORDER_LOT_ID, WORKORDER_SPLIT_ID, WORKORDER_SUB_ID, SEQUENCE_NO",ALTER_TABLE_FK
dbo.GJ.sql,FKEY9436,GJ,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.GJ_CURR.sql,FKEY9442,GJ_CURR,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.GJ_CURR.sql,FKEY9442,GJ_CURR,GJ_ID,GJ,ID,ALTER_TABLE_FK
dbo.GJ_DIST.sql,FKEY9438,GJ_DIST,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.GJ_DIST.sql,FKEY9438,GJ_DIST,GJ_ID,GJ,ID,ALTER_TABLE_FK
dbo.GJ_LINE.sql,FK_GJLINE_00,GJ_LINE,COST_CATEGORY_ID,COST_CATEGORY,ID,ALTER_TABLE_FK
dbo.GJ_LINE.sql,FK_GJLINE_00,GJ_LINE,DEPARTMENT_ID,DEPARTMENT,ID,ALTER_TABLE_FK
dbo.GJ_LINE.sql,FK_GJLINE_03,GJ_LINE,GJ_ID,GJ,ID,ALTER_TABLE_FK
dbo.GJ_LINE.sql,FK_GJLINE_01,GJ_LINE,PROJECT_ID,PROJECT_INFO,ID,ALTER_TABLE_FK
dbo.GJ_LINE.sql,FK_GJLINE_02,GJ_LINE,"WBS_CODE, PROJECT_ID",WBS,"CODE, PROJECT_ID",ALTER_TABLE_FK
dbo.GJ_LINE_CURR.sql,FKEY9440,GJ_LINE_CURR,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.GJ_LINE_CURR.sql,FKEY9440,GJ_LINE_CURR,"GJ_ID, LINE_NO",GJ_LINE,"GJ_ID, LINE_NO",ALTER_TABLE_FK
dbo.GL_BURDEN_MAP.sql,FK_GL_BURDEN_MAP_04,GL_BURDEN_MAP,BURDEN_GROUP_ID,BURDEN_GROUP,ID,ALTER_TABLE_FK
dbo.GL_BURDEN_MAP.sql,FK_GL_BURDEN_MAP_01,GL_BURDEN_MAP,COST_GROUP_ID,COST_GROUP,ID,ALTER_TABLE_FK
dbo.GL_BURDEN_MAP.sql,FK_GL_BURDEN_MAP_03,GL_BURDEN_MAP,CREDIT_GL_ACCOUNT,ACCOUNT,ID,ALTER_TABLE_FK
dbo.GL_BURDEN_MAP.sql,FK_GL_BURDEN_MAP_02,GL_BURDEN_MAP,DEBIT_GL_ACCOUNT,ACCOUNT,ID,ALTER_TABLE_FK
dbo.GL_BURDEN_MAP.sql,FK_GL_BURDEN_MAP_00,GL_BURDEN_MAP,DEPARTMENT_ID,DEPARTMENT,ID,ALTER_TABLE_FK
dbo.GL_BURDEN_MAP.sql,FK_GL_BURDEN_MAP_00,GL_BURDEN_MAP,PROJECT_TYPE,PROJECT_TYPE,CODE,ALTER_TABLE_FK
